LÔ-MÁ-JĪ,HÀN-JĪ,IA̍H-SÒ͘
Thoo5-hiunn,土香,86
Tsui2-ting-sim-tshau2,水燈心草,87
Be2-tsi5,碼薯,87
Sat-pin3-tshau2,虱篦草,88
Peh8-hiong-hu3,白香附,89
Bo5-thau5-hiunn,無頭香,89
Bo5-thau5-thoo5-hiunn,無頭土香,89
Tshioh8-tshau2,蓆草,92
Pin-nng5,檳榔,92
Tshinn-a2,菁仔,92
Suann-tsang,山棕,92
Tsui2-tin5,水籐,93
Ng5-tin5,黃籐,93
Tin5,藤,93
Ia5-phio5,椰瓢,93
Poo5-kui5,蒲葵,94
Khong-long5,糠榔,94
Kong-long5,桄榔,94
Kuan-im-tik,觀音竹,94
Liu5-kiu5-tik,琉球竹,94
Kun-thau5-tik,筋頭竹,94
Tsang,棕,94
Tshong-po5,菖蒲,95
Tsioh8-tshiong-po5,石菖蒲,95
Tsioh8-tshiong-poo5,石菖蒲,95
Ko-po5-oo7,姑婆芋,95
Lui5-kong-tshing3,雷公銃,95
Thian-lam5-sing,天南星,95
Oo7-a2,芋仔,97
Phu5-tsui2-lian5-hue,浮水蓮花,97
Tua7-phio5,大萍,97
Thoo2-puan3-ha7,土半夏,98
Ing3-tshai3-hong5,甕菜黃,98
Puan3-ha7,半夏,98
Tshinn-puan3-ha7,生半夏、青半夏,98
Ang5-phio5,紅萍,98
Tshinn-phio5,青萍,98
Thai2-ko-phio5,癲€萍,98
Tsui2-pian3-te7-gim2,水遍地錦,98
Tsui2-pian3-te7-gim2,水遍地錦,98
Tsui2-phio5,水萍,98
Tin5-tik-a2,籐竹仔,99
Kok-tsing,穀精、谷精,99
Ong7-lai5,𦬬萊,100
Peh8-tik-a2-tshai3,白竹仔菜,101
Tik-a2-hioh8,竹仔葉,101
Tik-a2-tshai3,竹仔菜,101
Ang5-tik-a2-tshai3,紅竹仔菜,101
Tik-a2-tshai3,竹仔菜,101
Ang5-sam-tshit-tshau2,紅三七草,101
Tua7-tsui2-phio5,大水萍,102
Tinn-tshai3,甜菜,102
Ah-tsih8-tshau2,鴨舌草,102
Tshan5-oo7-a2,田芋仔,102
Ting-sim-tshau2,燈心草,102
Loo7-gio7,蕗蕎,103
Tshang-thau5,葱頭,103
Tshang-a2,葱仔,103
Tua7-thau5-tshang,大頭葱,103
Bik8-tshong,麥葱,104
Ku2-tshai3,韮菜,104
Suan3-a2,蒜仔,104
Suan3-a2,蒜仔,104
Loo5-he7,蘆薈,104
Thian-bun5-tong,天門冬,104
Suann-kuann-lan5,山菅蘭,105
Kim-tsiam-tshai3,金針菜,106
Kim-tsiam,金占、金針,106
Peh8-pi-sian2,白萆蘚,106
Thoo2-hok8,土茯,106
Suann-suan3-thau5,山蒜頭,107
Sai-kong-giang,師公銒,107
Bik8-bun5-tong,麥門冬,107
Tshit-hioh8-lian5,七葉蓮,108
Tshinn-bak8-hiunn,青木香,108
Tshit-hoo7-lian5,七厚蓮,108
Huan-a2-na5-tau5,蕃仔林投,108
Hoo2-be2-lan5,虎尾蘭,109
Hau7-khak-tshi3,鱟壳刺,109
Hau7-khak-tin5,鱟壳藤,109
Thoo2-hok8-ling5,土茯苓,110
Suann-be2-tsi5,山碼薯,110
Ang5-tik,紅竹,111
Kuan-im-tik,觀音竹,111
Suann-suan3-thau5,山蒜頭,111
Bun5-tsu-lan5,文珠蘭,112
Tsui2-sian-hue,水仙花,113
Geh8-lai5-hiong,月來香,113
Tshan5-tsu5,田薯,113
Tshan5-tsu5,田薯,113
Suann-iok8-tsu5,山藥薯,113
Tshan5-tshinn,田菁,113
Tsu5-nng5,薯榔,114
Peh-tsu5-nng5,白薯榔,114
Sia7-kan,射干,114
Ang5-be2-iah8-hue,紅尾蝶花,114
Be2-iah8-hue,尾蝶花,114
Peh8-be2-iah8-hue,白尾蝶花,115
Hun-tsio,粉蕉,115
Suann-king-tsio,山芎蕉,116
Bok8-kua-king-tsio,木瓜芎蕉,116
King-tsio,芎蕉,116
Pak-tsio,北蕉,116
Tshinn-kiunn,生姜,116
Kiunn-ng5,薑黃、姜黃,116
Kiunn-ng5,薑黃,117
Suann-nai,山奈,117
Lam5-kiunn,南薑、南姜,117
Geh8-tho5,月桃,118
Kiunn,薑,118
Tshinn-kiunn,生姜,118
Lian5-tsiau-hue,蓮蕉花,119
Lian5-tsiau-hue,蓮蕉花,119
Kim-sun2,金筍,119
Kim-suann3-lian5,金線蓮,120
Tshiu7-tshau2-lian5,樹草蓮,120
Tsiau2-a2-hue,鳥仔花,121
So3-sim,素心,125
So3-sim-kuann-lan5,素心菅蘭,125
It-tiam2-hong5,一點紅,126
Bok8-hak8,木斛,126
Bok8-hak8,木斛,127
Kim-tsioh8-hak8,金石斛,127
Tsiap-kut-tshau2,接骨草,127
Oo5-tiap8-lan5,蝴蝶蘭,136
Iah8-lan5,蝶蘭,136
Bok8-mua5-hong5,木麻黃,140
Tshau3-tsho-tshau2,臭臊草,140
Tshau3-kam2-tshau2,臭敢草,140
Kau2-liap8-bi2,狗粒米,140
Tshiu2-ioh8,手藥,140
Hi5-tsho-tshau2,魚臊草,140
Tsui2-lau2-tshau2,水荖草,140
Lo5-tin5,蔞藤,141
Lau2-tin5,荖藤,141
Lau2-tin5,荖藤,141
Hong-tin5,風藤,141
Tua7-hong-tin5,大風藤,141
Tsin-hong-tin5,真風藤,141
Huan-a2-lau2-hioh8,蕃仔荖葉,141
Ho-tsio,胡椒,141
Si3-hioh8-lian5,四葉蓮,142
Kue-kha-lan5,鷄脚蘭,142
Te5-lan5,茶蘭,142
