LÔ-MÁ-JĪ,HÀN-JĪ,IA̍H-SÒ͘
Tshiu7-tau7,樹豆,226
Tshai3-to-tau7,菜刀豆,226
Kuan-to-tau7,關刀豆,226
To-pan2-jin5-tau7,刀板仁豆,226
Pui5-ti-a2-tau7,肥猪仔豆,226
Tua7-ho7-suann-thoo5-tau7,大號山土豆,227
Iunn5-kak-tau7,羊角豆,227
Sio2-iunn5-kak-tau7,小羊角豆,227
Iunn5-tau7,羊豆,227
Peh8-be2-sai2,白馬屎,228
Gong7-gong7-tshau2,戇戇草,228
Mua2-tiann2-koo5-tshau2,滿鼎糊草,229
Tua7-pun2-suann-thoo5-tau7,大本山土豆,229
Bo7-a2-tshau2,磨仔草,230
Tai7-hi5-lan5,𩻸魚鱗,230
Be2-te5-kim,馬蹄金,230
Sin5-sit8-tshau2,蠅翼草,231
Tsu-a2-tshau2,珠仔草,231
Pian2-thiok,萹蓄,231
Hoo5-sin5-sit8,蝴蠅翼,231
Sann-hi7-tshau2,三耳草,231
Sann-hinn7-a2-tshau2,三硯仔草,231
Su3-kui3-tshun,四季春,231
Ling5-tsih8-hong5,龍舌黃,231
Peh8-koo-soo-hue,白古蘇花,231
Ngoo5-bi5-tau7,蛾眉豆,231
Tsiau2-a2-tau7,鳥仔豆,231
Peh8-bah-tau7,白肉豆,231
Bah-tau7,肉豆,231
Ah-kian7-tin5,鴨腱藤,232
Tshi3-tong5,刺桐,232
Tshau3-khang-a2,臭空仔,232
It-tiau5-kun,乙條根、一條根,232
Tshian-kun-puih,千斤拔,232
Kue-kak-kong,鷄鵤公,233
Tshinn-phe5-tau7,青皮豆,233
Peh8-tau7,白豆,233
Oo-tau7,烏豆,233
Huan-tshinn,蕃菁,234
Tua7-tshinn,大菁,234
Pun2-tshinn,本菁,234
Tshinn-a2,菁仔,234
Sio2-tshinn,小菁,234
Tshian-li2-kong,千里光,235
Hoo5-sin5-sit8,蝴蠅翼,235
Suann-thoo5-tau7,山土豆,236
Hoo5-sin5-sit8,蝴蠅翼,236
Kuah-tin5,葛藤,236
Kue3-suann-ling5,過山龍,236
Loo7-tin5,蕗藤,237
Hi5-tin5,魚藤,237
Hoo2-jiau2-tau7,虎爪豆,237
Hu-kui3-tau7,富貴豆,237
Huih-tin5,血藤,237
Huih-tin5,血藤,237
Tshinn-kau5-kong-tshiu7,青猴公樹,238
Tau7-tsu5,豆薯、荳薯,238
Kuah-tsu5,葛薯,238
Han-tsu5,蕃薯,238
Hong5-te3-tau7,皇帝豆,238
Bi2-tau7,米豆,238
Lik8-tau7,綠豆,239
Tshai3-tau7,菜豆,239
Huan-a2-tau7,蕃仔豆,239
Ho-lin-tau7,荷蘭豆,239
Kim-ku-tshiu7,金龜樹,239
Oo-kue-kut,烏鷄骨,239
Am7-se5-tau7,頷垂豆,239
Kue-bai5,雞眉,239
Huan-a2-uan,蕃仔灣,239
Kau2-ting5-tshe,九重吹,240
Tau7-tshai3,豆菜,240
Tsu2-tuann5,紫檀,240
Kuah-tin5-tshau2,葛藤草,240
Kan-kuah,乾葛,240
Suann-bah-tau7,山肉豆,240
Tshan5-tshinn,田菁,241
Suann-tshinn,山菁,241
Be2-khi2-tau7,馬齒豆,242
Tsham5-tau7,蠶豆,242
Bi2-tau7,米豆,243
Tshai3-tau7,菜豆,243
Iunn5-tho5,楊桃、羊桃,244
Iunn5-mui5-tho5,楊梅桃,244
Lak8-tak8,磟碡、碌碡,244
Sio2-le2-hue,小禮花,244
Iam5-sng-a2-tshau2,鹽酸仔草,245
Iam5-sng-tshau2,鹽酸草,245
Suann-iam5-sng,山鹽酸,245
Hoo5-sin5-sit8,蝴蠅翼,245
Peh8-tsit8-le5,白蒺藜,246
Tsit8-le5,蒺藜,246
Sann-kha-hoo2,三脚虎,246
Sann-kha-be2-a2,三脚馬仔,246
Sann-kha-ting,三脚丁,246
Oo-kam-a2,烏柑仔,246
Suann-kam-a2,山柑仔,246
Ng5-kun,黃根,246
Siong5-san,常山,246
Tua7-the3-hong5,大退癀,246
Hiunn-kam,香柑,246
Guan5-siau-kam,元宵柑,246
Lian5-siau-kam,年宵柑,246
Hoo2-thau5-kam,虎頭柑,247
Tau2-iu7,斗柚,247
Iu7-a2,柚仔,247
Tua7-tau2-iu7,大斗柚,247
Ban7-iu7,晚柚,247
Bun5-tan3,文旦,247
Mua5-tau7-bun5-tan3,麻豆文旦,247
Peh8-bah-iu7,白肉柚,247
Mua5-tau7-peh8-iu7,麻豆白柚,247
Bit-iu7,蜜柚,247
Suann-tang-iu7,山東柚,248
Tsioh8-thau5-iu7,石頭柚,248
Tsa2-iu7,早柚,248
Peh8-hioh8-iu7,白葉柚,248
Oo-hioh8-iu7,烏葉柚,248
Kuainn5-tshiunn5-iu7,高墻柚,248
Tiong-iu7,中柚,248
Hiong-ian5,香櫞,248
Hiunn-inn5,香員、香圓,248
Hiunn-inn5,香圓,248
Hiunn-iu7,香柚,248
Hut8-siu2,佛手,248
Hut8-siu2-hiunn-kam,佛手香柑,248
Tsai3-sing-kiat,再生橘,248
Su3-kui3-kiat,四季橘,248
Huan-kam,蕃柑,248
Kong-sun-kiat,公孫橘,248
Sng-kiat,酸橘,249
Phong3-kiat,掽橘、凸橘,249
Tinn-kiat,甜橘,249
Phong3-kam,掽柑、凸柑,249
Seh-kam,雪柑,249
Tsui2-kam,水柑,249
Ang5-kam,紅柑,249
Thang2-kam,桶柑,249
Ni5-kam,年柑,249
Kuainn5-tshiunn5-thang2-kam,高墻桶柑,249
Hai2-lai5-kam,海梨柑,249
Ng5-phi5,黃皮,250
Ng5-kam,黃柑,250
Ke3-suann-hiunn,過山香,250
Huan-a2-phang-tshau2,蕃仔香草,250
Tshat8-a2-tshiu7,賊仔樹,250
Suann-tshat,山漆,250
Sue3-hioh8-suann-kuah-tshai3,細葉山葛菜,250
Suann-kuah-tshai3,山葛菜,250
Peh8-be2-sai2,白馬屎,250
Sann-kha-pih,三脚鼈,250
Sann-pih-pi2,三鼈比,250
Tshi3-tshang,刺葱,250
Tua7-hioh8-tshi3-tshang,大葉刺葱,250
Ang5-tsh3-tshang,紅刺葱,250
Jin5-tshi3-tshang,仁刺葱,250
Tshi3-kang-boo2,刺江某、刺江栂,250
Tsiau2-tah8-tshi3,鳥踏刺,251
Peh8-be2-sai2,白馬屎,251
Koo2-guat8-kun,古月根,251
Sang-bin7-tshi3,雙面刺,251
Hau-khak-tshi3,鱟壳刺,251
Ng5-kun,黃根,251
Kim-kam,金柑,251
Kim-kam,金柑,251
Tsioh8-ling5-ku7,石柃舅,251
Tshit-li2-hiong,七星香,252
Tsioh8-ling5,石柃,252
Sip-li2-hiong,十里香,252
Tshau3-phu5-iong5,臭芙蓉,252
Sue3-hioh8-ng5-bah-tshi3,細葉黃肉刺,252
Kann-na2,橄欖,254
Kiunn-a2-lan7-hut8,€仔€核,254
Tshiu7-lan5,樹蘭,254
Tshiu-lan5,秋蘭,254
Ang5-tsha5,紅柴,254
Tua7-ang5-thun-tshiu7,大紅椿樹,254
Khoo2-ling7,苦楝,255
Tah-bah-tshi3,搭肉刺,255
Uan2-tsi3,遠志,256
Tshit-tshun3-kim,七寸金,256
Jue7-a2-tshau2,蚋仔草,256
Thih-tio3-kuann,鐵釣竿,256
Kim-siah8-liu5,金石榴,256
Te5-si-hong5,茶絲黃,256
Tshan5-go7-a2-tshau2,田臥仔草,256
Tong5-tsi-tshiu7,桐子樹,257
Iu5-tong5,油桐,257
Tong5-tsi2-tshiu7,桐子樹,257
Iu5-tong5,油桐,257
Kng2-tang-iu5-tong5,廣東油桐,257
Koo-li2-tin,枯里珍,258
Koo-li2-tin,枯里珍,258
Ka-tang,茄苳,258
Ang5-sim-a2,紅心仔,258
Ang5-tsu,紅珠,258
Tshit-jit8-ng7,七日暈,258
Ang5-tsu-a2,紅珠仔,258
Ang5-tsu-a2-thau5,紅珠仔頭,258
Ang5-i3-a2,紅薏仔,258
Peh8-a2,白仔,258
Too7-bit8-tshiu7,杜蜜樹,258
Tshi3-too7-bit8,刺杜蜜,259
Tshi3-lam5,刺楠,259
Khi7-koo5,柿糊,259
Peh8-hioh8-e7,白葉下,259
Hioh8-e7-peh8,葉下白,259
Pa-tau,巴豆,259
Kong2-a2,廣仔,259
Bing2-tshiu7,猛樹,259
Kong3-a2,貢仔,259
Hoo2-phe5-lam5,虎皮楠,259
Thih-sik-tshiu7,鐵色樹,260
Tai7-kah-tshau2,大甲草,260
Pat-kua3-tshau2,八卦草,260
Lin-a2-tshau2,乳仔草,260
Tua7-pun2-lin-a2-tshau2,大本乳仔草,260
Ang5-kut-tua7-pun2-lin-a2-tshau2,紅骨大本乳仔草,260
He2-hang7,火€,261
Kim-siah8-liu5,金石榴,261
Huan-a2-tshi3,蕃仔刺,261
Gi5-hoo-tuan,宜呼端,261
Lik-san-oo5,綠珊瑚,261
Thih-tshiu7,鐵樹,261
Sue3-pun2-lin-a2-tshau2,細本乳仔草,262
Ang5-be2-a2-tshau2,紅尾仔草,262
Pian2-thiok-tshau2,萹蓄草,262
Lin-tshau2,乳草,262
Huan-hun5-tshau2,翻魂草,262
Ang5-lin-tshau2,紅乳草,262
Lin-a2-tshau2,乳仔草,262
Oo-a2-bak8-tshau2,烏仔目草,262
Ke3-loo7-gia5-kang,過路蜈蚣,262
Pian2-tsiong,蝙章,262
Ang5-kut-sue3-pun2-lin-a2-tshau2,紅骨細本乳仔草,262
Thoo2-tim5-hiunn,土沈香,262
Tsui2-tshat8-a2,水賊仔,262
Peh8-tshiu7-a2,白樹仔,262
Bin7-thau5-ke2,面頭菓,262
Tshiah-huih-a2,赤血仔,262
Bin7-thau5-ke2,面頭菓,263
Sue3-hioh8-tshiah-huih-a2,細葉赤血仔,263
Tua7-hioh8-bin7-thau5-ke2,大葉面頭菓,263
Tua7-ang5-sim,大紅心,263
Sue3-hioh8-bin7-thau5-ke2,細葉面頭菓,263
Bin5-thau5-ke2,面頭菓,263
Bun5-thau5-ke2,文頭菓,263
Tsui2-liu2-a2,水柳仔,264
Iu5-tong5-tshiu7,油桐樹,264
Tsui2-tshat,水漆,264
Pa-tau7,巴豆,264
Huih-tong5,血桐,264
Tua7-phann3-tshiu7,大冇樹,264
Bin7-thau5-ke2,面頭菓,264
Ting-tong5,橙桐,264
Ting-lan5,橙欄,264
Peh-bah-peh8-pu5-a2,白肉白匏仔,264
Peh8-pu5-a2,白匏仔,264
Peh8-hioh8-a2,白葉仔,264
Peh8-pu5,白匏,264
Khi7-koo5-bok8,柿糊木,265
Lak8-liam3-a2,六棯仔,265
La7-li2-a2,嘮哩仔,265
Lak8-kiam2-a2,六檢仔,265
Kau-tin5,鈎藤,265
Pun3-ki-tin5,糞箕藤,265
Tshiu7-tsu5,樹薯,265
Peh8-tshiu7-a2,白樹仔,265
Thang5-sai2,蟲屎,265
Iu5-kam,油柑,265
Ah-thoo5-tsu,鴨土珠、椏土珠,266
Sio2-huan-hun5,小翻魂,266
Hioh8-e7-tsu,葉下珠,266
Sue3-pun2-lin-a2-tshau2,細本乳仔草,266
Peh8-kut-tsu-a2-tshau2,白骨珠仔草,266
Tsu-a2-tshau2,珠仔草,266
Hioh8-e7-tsu,葉下珠,266
Ang5-kut-kia7-tsan3-tsu-a2-tshah8,紅骨崎層珠仔草,266
Oo-kam-a2,烏柑仔,266
Pi-mua5,蓖麻,266
Ang5-too-pi,紅€蓖,266
Pi-mua5-a2,蓖麻仔,266
Ang5-pi-mua5,紅蓖麻,266
Suann-khing7,山柏,266
Phann3-khing7,冇柏,266
Peh8-khing,白柏,266
Khing7-a2,柏仔,266
Khing7-a2,柏仔,267
Khing7-a2-tshiu7,柏仔樹,267
Tshi7-tshang,市葱,267
Tshi3-tshang,刺葱,267
Tsioh8-liu2,石柳,267
Tsioh8-liu2,石柳,267
Lue7-te7-tsioh8-liu2,內地石柳,267
Suann-suainn7-a2,山檨仔,268
Suainn7-a2,檨仔,268
Nuann7-sim-bok8,爛心木,268
Nua7-sim,爛心,268
Suann-iam5-tshinn,山鹽菁,268
Poo-iam5-a2,埔鹽仔,268
Suann-poo-iam5,山埔鹽,268
Iam5-tang-hue,鹽東花,268
Poo-iam5,埔鹽,268
Suann-tshat8-a2,山賊仔,269
Tshat,漆,269
Suann-tshat,山漆,269
Tshat-tshit-tshiu7,漆七樹,269
Ting-phing-a2,燈秤仔,269
Ban7-tiam2-kim,萬點金,269
Ting-tshing-hue,燈稱花,269
Oo-kue-kut,烏鷄骨,269
Ting-phing5-hue,燈秤花,269
Koo5-thu,糊樗,270
Khoo2-thu,苦株,270
Koo5-thu,糊樗,271
Peh8-gun5,白銀,271
Be2-khau2-tshiu7,馬口樹,271
Tai-ting-hong5,大丁黃、大疔黃,273
Tsiau2-kian7-hue,鳥腱花,274
Suann-hiunn-inn5,山香圓,275
Kue-jiu5,鷄柔,276
Tshinn-png,青楓,276
Tsi2-kiong,止宮,277
To2-tue7-ling5,倒地柃,277
Peh8-hue-a2-tshau2,白花仔草,277
Tshia-sng-a2,車桑仔、車閂仔,277
Ging5-ging2,龍眼,277
Khoo2-ling7-kang,苦楝江,277
Khoo2-ling7-ku7,苦楝舅,277
Puat8-a2-kue-iu5,拔仔雞油,277
Nai7-tsi,荔枝,277
Huan5-a2-ging5-ging2,蕃仔龍眼,277
Luan5-tshiu7,欒樹,278
Ng5-bak8-tsi2,黃目子,278
Bak8-lo5,木羅,278
Bak8-long5-tshiu7,木浪樹,278
Suann-ti-bah,山猪肉,278
Suann-ti-kuann,山猪肝,278
Pit-lo5-tsi2,筆羅子,278
Ka-tsuah8-sit8,蟉€翼,278
Lik8-tsiunn,綠樟,278
Tsng2-kah-hue,指甲花,279
Oo-tshi3-a2,烏刺仔,279
Oo-bak8-a2,黑目仔,280
Thang2-kau-tin5,桶鈎藤,280
Gu5-tsang-tshi3,牛鬃刺,280
Tshi3-mng,刺€,280
Tso2-a2,棗仔,280
Ang5-tso2,紅棗,281
Tua7-tso2,大棗,281
Tua7-phu5-to5,大葡萄,281
Tua7-pun2-suann-phu5-to5,大本山葡萄,281
Suann-phu5-to5,山葡萄,281
Pun3-kam-tin5,糞€藤,281
Ling2-png7-tin5,冷飯藤,281
Hi7-khang-a2-tin5,耳空仔藤,281
Ngoo2-jiau2-ling5,五爪龍,281
Ngoo2-jiau2-jiong5,五爪絨,281
Huan-po5-uan,蕃婆灣,281
Huan-po5-uan5,蕃婆怨,281
Ang5-kut-tsua5,紅骨蛇,282
Sann-kha-pih-tshau2,三角鼈草,282
Sann-kha-pih,三角鼈,282
Sue3-pun2-suann-phu5-to5,細本山葡萄,282
Phu5-to5,葡萄,283
Kau5-huann-hi2,猴歡喜,283
Too7-ing,杜英、杜鶯,283
Tsu5-tau7,薯豆,283
Tsu5-tau2,薯斗,283
Ng5-mua5,黃麻,284
Suann-mua5,山麻,284
Tau2-lok8,斗鹿,284
Lak8-tak8-tshau2,€碡草、磱碡草,285
Sann-kha-pih,三角鼈,285
Ioh8-hoo2,藥虎,285
Sann-kha-pua3,三角破,285
Bi2-na5-tshau2,米籃草,285
Su3-bi5-tshau2,絮薇草,285
Bo7-a2-tun2,帽仔盾,285
To3-tiau3-hong,倒€風,285
Su3-bi2-tshau2,四米草,285
Ging2-a2-tun2-tshau2,研仔盾草,285
Phoh-a2-tshau2,朴仔草,285
Bo7-a2-tun3-tshau2,帽仔盾草,285
Bo7-a2-tun2-tshau2,磨仔盾草,285
Suann-phu5-iong5,山芙蓉,286
Kau2-thau5-phu5-iong5,狗頭芙蓉,286
Phu5-iong5,芙蓉,286
Hu5-song-hue,扶桑花,286
Tua7-ang5-hue,大紅花,286
Tsiu2-gim2-hue,水錦花,286
Peh8-tsui2-gim2-hue,白水錦花,286
Phoh-a2,朴仔,286
Ke2-hioh8,菓葉、粿葉,286
Iam5-tsui2-bin7-thau5-ke2,鹽水面頭菓,286
Ng5-tsui2,黃槿,286
Tua7-ho7-suh-huih-a2-tshau2,大號嗽血仔草,287
Kui2-liu2-kun,鬼柳根,287
Su3-bi2-tshau2,賜米草,287
Khia7-a2-suh-huih-a2,竪仔嗽血仔,287
Inn5-hioh8-suh-huih-tshau2,圓葉嗽血草,287
Sua3-ho7-suh-huih--a2-tshau2,小號嗽血仔草,287
Sat-bu2-tsi2-tshau2,虱母子草,288
Sat-bu2-tsi2,虱母子,288
Pan-tsi-tshiu7,班芝樹,288
Ko2-bok8,€木,288
Ka-poh8-mi5,加薄棉,288
Tshinn-tong5,青桐,288
Ngoo5-tong5,梧桐,288
Khoo2-mua5,苦麻,288
Tua7-peh8-hioh8-a2,大白葉仔,288
Bin7-thau5-ke2,面頭菓,289
Tshe-thau5-hing5,栖頭恒,289
Ting-a2-tshau2,燈仔草,289
Tshing3-tshng5-lam5,銃床楠,289
Pin5-po5,蘋婆,289
Tsui2-tang-kue,水冬瓜,290
Tsui2-kong2-sim,水管心,290
Tua7-phann3-tshiu7,大有樹,290
To3-tiau3-hong,倒€風,290
Gu5-sai2-te5,牛屎茶,291
Ang5-tam7,紅淡,291
Te5-mui5,茶梅,292
khoo2-te5,苦茶,292
Iu5-te5-tshiu7,油茶樹,292
OO-phe5-te5,烏皮茶,292
Gu5-sai2-te5,牛屎茶,292
Iu5-te5,油茶,292
Te5,茶,293
Suann-te5,山茶,293
Suann-te5-a2,山茶仔,293
Iu5-te5,油茶,293
Iu5-hioh8-te5,油葉茶,293
Iu5-bok8,油木,293
Tua7-thau5-te5,大頭茶,293
Kuann-a2-phe5,杆仔皮,294
Ho3-siu7,荷樹,294
Ho3,荷,294
Ko-pue,高杯,294
Ko2-a2,€仔,294
Ang5-tsha5,紅柴,294
Ang5-tam7-pi2,紅淡比,294
Ang5-kau7-khak,紅厚殼,294
Thih-tio3-kuann,鐵釣竿,295
Ng5-hue-a2-tshau2,黃花仔草,295
It-ki-hiunn,一枝香,295
Tshut-sing-lau2,出生老,295
Tua7-huan-hun5,大翻魂,295
Sam3-liu2,€柳,296
Te5-si5-hong5,茶匙黃,297
Ing3-tshai3-hong5,甕菜黃,298
Kue-tsih-hong5,鷄舌黃,298
Keh-tsiau2-hue,鵲鳥花,298
U7-tshi3-tshiah-lan5,有刺赤蘭,299
Loo2-hua3-tshiu7,魯化樹,299
Si5-pio2-a2-hue,時錶仔花,300
Bok8-kua,木瓜,300
Huan-a2-bok8-kua,番仔木瓜,300
Ban7-siu7-ko2,萬壽果,300
Mooh-piah-lian5,€壁蓮,302
Sian-pa-tsiunn2,仙巴掌,303
Poo-lun5-a2,埔崙仔,303
Suann-poo-lun5-a2,山埔崙仔,303
Poo-lun5,埔崙,303
Khi7-koo5,柿糊,304
Kiu2-kiong,九芎,304
Tsng2-kah-hue,指甲花,305
Tsha5-tsng2-kah,柴指甲,305
Hai2-tsua2-tsinn5-loo2,海紙錢魯,305
tsui2-ti-bu2-lin,水豬母乳,305
Ang5-siah8-liu5,紅石榴,305
Sia7-liu5,謝榴、榭榴,305
Siah8-liu5,石榴,305
Peh8-siah8-liu5,白石榴,305
Ki5-puann5-kha-tshiu7,碁盤脚樹,306
Tsui2-kong3-a2,水貢仔,306
Tsui2-ka-tang,水茄苳,306
Sue3-hioh8-ki5-puann5-kha-tshiu7,細葉碁盤脚樹,306
Goo7-kha-li2,五脚里,306
Tsui2-pit,水筆,306
Tsui2-pit-a2,水筆仔,306
Ang5-ka-tang,紅茄苳,307
Su3-kun-tsu2,使君子,307
Suann-iunn5-sai2,山羊屎,307
Lam2-jin5,欖仁,307
Ka-jip8-ku7,加入舅,308
Tshiah-lan5,赤蘭,308
Huan-a2-sau3-tshiu2,蕃仔掃箒,308
Hiong-ko2,香果,309
Hong-koo2,風鼓,309
Lian2-bu7,蓮霧、輦霧,309
Puat8-a2,拔仔,309
Na2-puat8,那拔、藍拔、€€,309
Pat-a2,扒仔,309
Tsui2-to-ni5,水刀連,310
To-ni5-a2,哆哖仔,310
Tua7-hioh8-kim-siah8-liu5,大葉金石榴,310
Kim-sia7-liu5,金榭榴,310
Te7-ting,地丁,310
Kau2-le5-a2-hue,九螺仔花,310
Poo-pit-a2,埔筆仔,310
Put-liu5-hing5,不留行,310
Ong5-put-liu5-hing5,王不留行,310
Ong5-put-liu5,王不留,310
Kim-siah8-liu5,金石榴,310
Kim-sia7-liu5,金榭榴,310
Tsui2-ting-hiunn,水丁香,312
Ke3-kang-ling5,過江龍,312
Ke3-kau-ling5,過溝龍,312
Tsui2-kang-ling5,水江龍,312
Tsui2-ting-hiunn,水丁香,312
Ling5-kak,龍角、菱角,312
Tshau2-se,草紗,313
Kang-boo2,江某、江€,313
Ap-bu2-tshiu7,鴨母樹,313
Ap-mu-phang,鴨母€,313
Ap-ma5-kuat8,鴨麻瓜,313
Tshi3-tshang-tshiu7,刺葱樹,314
Tshi3-tshang,刺葱,314
Sue3-hoo7-tshi3-tshang,細號刺葱,314
Kau2-kha-tue5,狗腳蹄,314
Thong-tshau2,蓪草、通草,315
Hue-tsho2,花草,315
Tua7-pun2-suann-khun5-tshai3,大本山芹菜,315
Tok8-huat8,獨活,315
Khun5-tshai3,芹菜,315
Tsha5-oo5,柴胡,316
Ham-khah-tshau2,含殼草、蚶壳草,316
Jua7-a2-tshau2,蚋仔草,316
Ham-khah-a2-tshau2,蚶壳仔草,316
Ian5-sui,莞荽、莞蓑,316
Ang5-tshai3-thau5,紅菜頭,316
Hue5-hiunn,茴香,317
Kim-tshinn5-poh8-ho,金錢薄荷,317
Khit-tshiah8-uann2,乞食碗,317
Ang5-kut-ham-khak-tshau2,紅骨含殼草,317
Ham-khah-tsinn5-tshau2,含殼錢草,317
Pian3-te7-hut,變地忽,317
Pian3-te7-gim2,變地錦、遍地錦,317
Sue3-pun2-suann-khun5-tshai3,細本山芹菜,317
Tsui2-khun5-tshai3,水芹菜,317
Hong5-hong,防風,318
Mua2-suann-ang5,滿山紅,321
Mua2-suann-ang5,滿山紅,322
Hoo7-suann3-a2,雨傘仔,324
Thih-hoo7-suann3,鐵雨傘,324
Ue2-kha-niu5-suann3-tshiu7,矮腳凉傘樹,324
Hoo7-suann3-a2,雨傘子,324
Tshiu7-ki2,樹€,325
Lak8-kak-tshau2,六角草,325
Suann-kui3-hue,山桂花,325
Tsit-hi5-tann2,鯽魚膽,325
Tik-ki2,竹€,326
Thih-a2,鐵仔,326
Phang-tshau2,香草,327
Hiunn-tshau2,香草,327
Tshit-li2-hiong,七里香,327
OO-bin7-be2,烏面馬,328
Hang-a2-tshau2,€仔草,328
Tshiah-tsiok,赤€,328
Kuann-a2,杆仔,328
Phah-ko2-kong-tshiu7,€古公樹,328
Tsioh8-tshing5,石松,329
tshiu7-tshinn,樹青,329
Mo5-khi7,毛柿,329
Mo5-khi7-keh,毛柿格,329
OO-tshai5-a2,烏材仔,329
OO-tshai5-khi7,烏材柿,329
Khi7-a2,柿仔,329
Ang5-khi7,紅柿,329
Ng5-sim-a2,黃心仔,329
Suann-khi7,山柿,329
OO-phe5-tsioh8-ling5,烏皮石柃,330
Suann-iunn5-hi7,山羊耳,331
Sue3-hioh8-peh8-mng5,細葉白門,331
Tua7-hioh8-peh8-mng5,大葉白門,332
Peh8-mng5,白們,332
Phann3-tainn2,€€,333
Phnna3-thai,€€,333
Tann2-tsio,打招,333
OO-phe5-kiu2-kiong,烏皮九芎,333
Peh8-tshiu7,白樹,333
OO-kue-bu2,烏雞母,333
Hioh8-e7-peh8,葉下白,333
Tshiah-huih-a2,赤血仔,334
Ang5-phe5,紅皮,334
Hioh8-e7-peh8,葉下白,334
Thih-tshiu7,鐵樹,334
Peh8-kue-iu5,白鷄油,334
Suann-khoo2-ling7,山苦楝,334
Kua-thoo5,柯土,334
Peh8-kue-iu5,白鷄油,334
Peh8-kue-iu5-ku7,白鷄油舅,334
Siu3-ing,秀英,334
Bak8-ni7-hue,茉莉花,335
Bak-ni7,茉莉,335
Suann-soo3-ing,山素英,335
Suann-su3-ing,山四英,335
Kui3-hue,桂花,335
Tshi3-keh,刺格,336
Suann-kui3-hue,山桂花,336
Iong5-phoo,揚波,336
Hai2-iong5-phoo,海洋波,336
Peh8-poo-kiunn,白埔姜,336
Suann-suainn7-a2,山檨仔,339
Hai2-suainn7-a2,海檨仔,339
Kau5-huann-hi2,猴歡喜,339
Sng-tin3,酸藤,339
Lin-tin5,乳藤,339
Su3-si5-tshun,四時春,339
Jit8-jit8-tshun,日日春,339
Kip-tik-tho5,夾竹桃,340
Tho5-tik,桃竹,340
Huan-hue,蕃花,340
Huan-a2-hue,蕃仔花,340
Suann-be2-te5,山馬蹄,340
Suann-ho-tsio,山胡椒,340
Be2-te5-hue,馬茶花、馬蹄花,340
Suann-be2-te5,山馬茶,340
Hong-put-tong7,風不動,341
Bu2-hia-tin5,武靴藤,341
Kiu5-lan5,毬蘭,342
Bo5-kun-tshau2,無根草,343
Tau7-hoo2,豆虎,343
Be2-te5-kim,馬蹄金,343
Han-tsu5,蕃薯,344
Huan-a2-tin5,蕃仔藤,344
Uann2-kong-hue,碗公花,344
Huan-a2-tin5,蕃仔藤,345
Han-tsu5-ku7,蕃薯舅,345
Uann2-kong-hue,碗公花,345
Be2-uann-tin5,馬鞍藤,345
Ing3-tshai3,甕菜、應菜,345
Phua3-poo3-bok8,破布木,347
Suann-poo3-tsi2,山布子,347
Phua3-poo3-tsi2,破布子,347
Tshiu7-tsi2-a2,樹子仔,347
Phua3-poo3-pp,破布烏,348
Poo3-poo3-oo-tshiu7,布布烏樹,348
Poo3-poo3-oo,布布烏,348
Suann-pin-nng5,山檳榔,348
Kau7-khak-a2,厚殼仔,348
Gu5-kut-a2,牛骨仔,348
Khau2-kha-a2,口脚仔,348
Kim-hi7-tui7,金耳墜,348
Kau2-be2-tshau2,狗尾草,348
Kim-so2-si5,金鎖匙,349
Tsui2-tshau2,水草,349
Tshin3-png7-thng,€飯藤,349
Hai2-ka-tang,海茄苳,349
Hai2-ka-tin5,海茄藤,349
Tshoo-khng-a2,粗糠仔,350
Peh8-tshoo-khng-a2,白粗糠仔,350
Tai7-ting-hong5,大丁黃,350
Mng5-tsiong-kun,毛將軍,350
Ang5-bin7-mng5-tsiong-kun,紅面毛將軍,350
Poo-tshau2-iunn7,埔草樣,351
Tshau3-bak8-ni7,臭茉莉、臭€莉,351
Peh8-hue-khoo2-na5-puann5,白花苦藍盤,351
Khoo2-na5-puann5,苦藍盤,351
Peh8-ling5-tsun5-hue,白龍船花,351
Ling5-tsun5-hue,龍船花,351
Suann-ti-ka5,山豬枷、山豬茄,351
Goo2-ling5-lan5,五龍蘭,352
Ah-tshui3-pue-hong5,鴨嘴€黃,352
Ah-chih8-hong5,鴨舌黃,352
Ah-tshui3-hong5,鴨嘴黃,352
Hau7-khak-tshi3,鱟壳刺,352
Gu5-kut-a2-tshiu7,牛骨仔樹,353
Gu5-kut-a2,牛骨仔,353
Thih-tio3-kuann,鐵釣竿,353
Thih-bi2-pinn,鐵馬鞭,353
Be2-pinn-tshau2,馬鞭草,353
Te5-bi2-tshau2,茶米草,353
Poh8-kiunn-a2,薄姜仔,353
Mua5-a2,蔴仔,353
Poo-kiunn,埔姜,353
M7-kiann-te5,不驚茶,353
M7-kiann-king,不驚經,353
Suann-poo-kiunn,山埔姜,353
OO-tinn,烏甜,353
OO-tinn-a2,烏甜仔,353
Poo3-kiunn,布姜,353
€,蒲荊,353
Hai2-poo-kiunn,海埔姜,353
Peh8-poo-kiunn,白埔姜,353
Tsat-tsat-ang5,節節紅,354
Tsiam-be2-hong,尖尾風,354
San3-huih-tshau2,臭天黃,354
Kim-kiam3-tshau2,金劍草,354
Tshai3-tshau2-thau5,菜草頭,354
Sat-bu2-thau5,虱母頭,354
Buah-tshau2,抹草,354
Hi5-tsiam-tshau2,魚針草,354
He7-koo-tshau2,夏枯草,354
