LÔ-MÁ-JĪ,HÔA-GÍ,IA̍H-SÒ͘,LÔ-MÁ-JĪ2,LÔ-MÁ-JĪ3
Ki-kim,基金,381,,
Ki5-to2,祈禱,381,,
Kinn3,見,381,,
Khuann3-kinn3,看見,381,,
Thiann-kinn3,聽見,382,,
Bang7-kinn3,夢見,382,,
Phang3-kinn3,丟了,382,,
Khuann3- mi5-sat,,383,,
Thiann to7-li2,聽道理,383,,
Kia3,寄、存,383,,
Kia3 tsinn5,存款,383,,
Kia3 phue,寄信,383,,
Kia7,坡,384,,
Peh-kia7,上坡,384,,
Loh8-kia7,下坡,384,,
Kiann7,件,384,,
Mih8-kiann7,物件,384,,
Tsit8 kiann7 hing5-li2,一件行李,384,,
Kiann2,孩子,385,,
Ke-a2-kiann2,小雞,385,,
Niau-a2-kiann2,小貓,385,,
Kau2-a2-kiann2,小狗,385,,
Ti-a2-kiann2,小豬,385,,
Kiann,恐怕、害怕,385,,
Kiann5,走、行,385,,
Kiann5 lai5 kiann5 khi3,走來走去,385,,
Kiann liau2,恐怕,385,Kiann i2,Kiann a2
Kiann2-sun,子孫,386,,
Kiann2-sai3,女婿,386,,
Kiann3,鏡子,386,,
Tshiu2-kiann3,手鏡,386,,
Bak8-kiann3,眼鏡,386,,
Kuann3 bak8-kiann3,戴眼鏡,386,,
Kiam2,減,386,,
Kiam5,鹹,386,,
Kiam2-tshai2,萬一、或許,386,,
Kiam,兼,387,,
Kiám-tsa,檢查,387,,
Kiam2-un,檢溫,387,,
Kiam2-un-khi3,檢溫器,387,,
Kian3-siau3,害羞、怕羞,387,,
Kian7-khong,健康,388,,
Khong-kian7,康健,388,,
Kian3-pun2,樣本、樣品,388,,
Kian-koo3,堅固,388,,
Kian-lin7,慳吝,388,,
Kiat-hinn3-sak,拋棄、丟掉,388,,
Kiat-hun,結婚,389,,
Kiat-ko2,結果,389,,
Kiat,吝嗇,389,Kiok8,
Kiau2-jiau2,打擾,389,,
Kiau-ngoo7,驕傲,389,,
Kiau2,賭博,390,,
Kim,金、光滑,390,,
Kim-khoo3,金庫,390,,
Kim-tsua2,金紙,390,,
A-kim7,舅母,390,,
Kim-kue,南瓜,390,,
Kim3-tsi2,禁止、禁,390,Kim3,
Kin-a2-jit8,今天,390,,
Kin,巾,391,,
Tshiu2-kin,手帕,391,,
Toh-kin,檯巾,391,,
Tsiah8-png7-kin,餐巾,391,,
Bin7-kin,毛巾,391,,
Kin2,快,391,,
Kin-ni5,今年,391,,
Kin7-lai5,近來,391,,
Kin,斤,391,,
Kong-kin,公斤,391,,
Kin7,近,391,,
Kin7-si7,近視,391,,
Kio7,轎,391,,
Kio3,叫,392,,
Kio5,橋,392,,
Kue3-kio5,過橋,392,,
Kio5,茄子,392,Ang5-phue5-tshai3,
Kiong5,強,392,,
Kiong-hi2,恭喜,392,,
Kiong7-san2-tong2,共產黨,393,,
Kiong7-ho5 tong2,共和黨,393,,
Kiong7-ho5 tong2-uan5,共和黨員,393,,
Kiong7-ho5-kok,共和國,393,,
Kip8-keh,及格、合格,393,,
Kip8-te7,及第、及格,393,,
Kip-tiunn2,級長,393,,
Kip-sing3 e5 hui3-iam7,急性肺炎,393,Kip-sing3 e5 hi3-iam7,
Kip-sing3 e5 tng5-a2-iam7,急性腸炎,394,,
Kiu3,救,394,,
Kiu3-se3-tsu2,救世主,394,,
Kiu3-tse3,救濟,394,,
Kiu3-tse3-hue7,救濟會,394,,
Kiu5,求,394,,
Kiu5,球,395,,
Te7-kiu5,地球,395,,
Tian7-kiu5,電泡、電球,395,,
bang7-kiu5,網球,395,,
Pang5-kiu5,棒球,395,,
Na5-kiu5,籃球,395,,
Kiu5-siu5,仇讎,395,,
Kiu2-kian3,好久沒見,395,,
Kiu2-giong2,久仰,395,,
Kiunn,薑,395,,
Kng,光亮,395,,
Kng,抬（兩人以上）,395,,
Kng2--khi2-lai5,捲起來,396,,
Kng,缸,396,Kng-a2,
Tsui2-kng,水缸,396,,
Kng3,鋼,396,,
Ko3-kai2,告解,396,,
Pan7 ko3-kai2,辦告解,396,,
Ko-san-tsok8,高山族,397,,
Ko-tiong,高中,397,,
Ko-kang,高工,397,,
Ko-siang,高商,397,,
Ko-kian3,高見,397,,
Ko-hiong5,高雄,397,,
Ko-le5-tshai3,高麗菜,397,,
Ko3,控告,397,,
Ko5-ko5-tinn7,糾纏不休,397,,
Koo5,貼,398,,
Koo5-a2,漿糊,398,,
Koo2-gueh8,個月,398,,
Koo3-su7,故事,398,,
Kong2-koo3-su7,講故事,398,,
Koo2-tsui,可愛,399,,
A2-koo,姑母,399,,
Koo-tiunn7,姑丈,399,,
Koo2,吹開、€分,399,,
Koo2 tshik-a2,€穀,399,,
Koo2-le7,鼓勵,399,,
Koo2-tsinn2,井,399,,
Koo-put-tsiong,不得已,400,,
Koo-ji5,孤兒,400,,
Koo7-ji5-inn7,孤兒院,400,,
Koo2-ke3,估價,400,,
Koo3-su7,顧,400,,
Koo3 gin2-na2,看孩子,400,,
Koo3 pinn7-lang5,看護病人,400,,
Koo3 mng5,看門,400,,
Koo3 mng5 e5,守門的,400,,
Koo3 tiam3,顧店,400,,
Koo2,鼓,401,,
Phah-koo2,打鼓,401,,
Koo2-tong2,古董,401,,
Koo3-bun7,顧問,401,,
Kua,歌,401,,
Tshiu3-kua,唱歌,401,,
Kok-kua,國歌,401,,
Tshiu3 sing3-li7 e5 kua,唱勝利的歌,401,,
Kua3,蓋,401,,
Tsit8 kua2,一些,401,,
Tsit8 kua2 tsheh,一些書,401,,
Tsit8 kua2 hing5-li2,一些行李,402,,
Tsit8 kua2 lang5,一些人,402,,
Kuann5,寒、冷,402,,
Kuann5-thinn,冬天,402,,
Kuann5--tioh8,受冷、傷風,402,,
Kuann7,提、€,402,,
Kuann7,汗,402,,
Kuann,肝,402,,
Ti-kuann,豬肝,403,,
Kuann2,趕,403,,
Kuann2-kin2,趕快、趕緊,403,,
Kuann-tsha5,棺木,403,,
Kuah,割,403,,
Kuah-tiu7-a2,割稻禾,403,,
kuai,乖,403,,
Kuai-a2,拐杖,404,,
Kuainn,關、閉,404,,
Kuann-mng5,關門,404,,
Kuan5,高,404,,
Kuan3,罐,404,,
Kuan3-thau5,罐頭,404,,
Tsit8 kuan3 ling2-tsui2,一瓶冷水,404,,
Tsit8 kuan3 gu5-ling,一瓶牛奶,404,,
Tsit8 kuan3 e5-iu5,一罐鞋油,404,,
Tsit8 kaon3 ioh8-a2,一瓶藥,405,,
Tsit8 kuan3 beh8-a2-tsiu2,一罐啤酒,405,,
Kuan2,管,405,,
Kuan2-hat,管轄,405,,
Kuan3-si3,慣於,405,,
Tsin m7 kuan3-si3,不慣於,405,,
Kuan-sue3,關稅,406,,
Kuan2-li2,管理,406,,
Kuan-he7,關係,406,,
Kuan5-sian2,權洗,406,,
Kuan7,縣,406,,
Tai5-pak kuan7,台北縣,406,,
Tho5-hng5 kuan7,桃園縣,406,,
Gi5-lan5 kuan7,宜蘭縣,407,,
Sin-tik kuan7,新竹縣,407,,
Biau5-lik8 kuan7,苗栗縣,407,,
Tai5-tiong kuan7,台中縣,407,,
Tsiong-hua3 kuan7,彰化縣,407,,
Lam5-tau5 kuan7,南投縣,407,,
Hun5-lim5 kuan7,雲林縣,407,,
Ka-gi7 kuan7,嘉義縣,407,,
Hua-lian5 kuan7,花蓮縣,407,,
Tai5-tang kuan7,台東縣,407,,
Tai5-lam5 kuan7,台南縣,407,,
Ko-hiong5 kuan7,高雄縣,407,,
Pin5-tong kuan7,屏東縣,407,,
Phinn5-oo5 kuan7,澎湖縣,407,,
Kuat-ting7,決定,407,,
Kuat-sim,決心,408,,
Kuat-i3,決意,408,,
Kue2-tsi2,水果,408,,
Kue2-tsi2 tsiap,水果汁,408,,
Kue3,過,408,,
Kue3-ni5,過年,408,,
Kue3-ke3,會計,408,Hue7-ke3,
Kue3-ong2,逝世,408,,
Kue,瓜,409,,
Bok8-kue,木瓜,409,,
Si-kue,西瓜,409,,
Tshi3-kue,胡瓜,409,,
Tang-kue,冬瓜,409,,
Kim-kue,南瓜,409,,
Kue3-sit,過失,409,,
Kue3-mi5,過夜,409,,
Kue3-to7,過度,409,,
Kue3-khi3,過去,410,,
Koh-khah,更,410,,
Koh-khah ho2,更好,410,,
Koh,再,410,Koh-tsai3,
Koh-tsai3 kong2,再說,410,,
koh tsit8 pai2,再一次,410,,
Toa7 koh iong2,大又強,410,,
Koh-khi3,再過去,411,,
Koh-lai5,再來,412,,
Koh-theh8,再拿,413,,
Koh-khah,無論怎麼...也...,413,,
Kok-bin5,國民,414,,
Kok-bin5-hak8-hau7,國民學校,414,,
Kok-bin5-tong2,國民黨,414,,
Kok-bun5,國文,414,,
Kok-gi2,國語,414,,
Kok-ka,國家,414,,
Kok-ki5,國旗,414,,
Kok-lang5,各人,414,,
Kong2,說、講,414,,
Kong2-ue7,講話,415,,
Kong3,打、擊,415,,
Kong3-tsing,打鐘,415,,
Kong3 tian7-po3,打電報,415,,
Kong,公,415,,
Kong-hng5,公園,415,,
Kong-li2,公里,415,,
Kong-to7,公道,415,,
Kong-tshioh,公尺,415,,
Kong3-thui5-a2,鎚子,415,,
Kong2-poo3 tian7-tai5,廣播電台,415,,
Kong2 peh8-tshat8,說謊,415,,
Kong-ing5,光榮,416,,
Kong2-put-ping5,發牢騷,416,,
Kong-ke,共有,416,,
A-kong,祖父,416,,
Gua7-kong,外祖父,416,,
Lai7-kong,內祖父,416,,
Kong-bin5,公民、公民科,417,,
Kong-hau7,功效,417,,
Kong2-koo3,廣告,417,Kong2-ko3,
Kong-bu7-uan5,公務員,417,,
Kong-lo5,功勞,417,,
Kong-su,公私,417,,
Ku7,舊,418,,
Ku7-ni5,舊年、去年,418,,
Ku7-lik8,舊曆、農曆,418,Long5-lik8,
Ku3,句子、句字,418,,
Tsit8 ku3 ue7,一句話,418,,
Tsit ku3,這句,418,,
Kui2 ku3-a2 ue7,幾句話,418,,
Ku2,久,418,,
Tsin-ku2,很久,418,,
Bo5-lua7-ku2,不多久,419,,
Khah ku2,更久,419,,
Tsiah nih8 ku2,這麼久,419,,
Siunn-ku2,太久,419,,
Koh bo5 lua7 ku2,再不多久,419,,
Tsit bo5 lua7-ku2,最近,420,,
Goo7 hun-tsing ku2,五分鐘,420,,
Goo7 tiam2-tsing ku2,五點鐘,420,,
Lak8 gueh8-jit8 ku2,六個月,420,Puann3 ni5 ku2,Lak8 koo2-gueh8 ku2
Nng7 le2-pai3 ku2,兩個禮拜,420,,
Tsap8 ni5-ku2,十年,421,,
Iau2-ku2,還在,421,,
M7-ku2,不過,421,,
Kui2 ni5-a2-ku2,幾年,421,,
Kui2 na7 nî-ku2,許多年,421,Kui2 a7 ni5-ku2,
Kui2-na7 jit8 ku2,許多天,421,Kui2 a7 jit8 ku2,
Kui2 jit8-a2-ku2,幾天,421,,
Kui3 na7 koo2 gueh8 ku2,幾個月,421,Kui2 a7 koo2 gueh8 ku2,
Sann si3 jit8 ku2,三四天,421,,
Goo7 lak8 ni5 ku2,五六年,421,,
Chit8 ku2-a2,一會兒,421,,
A-ku7,舅父,421,,
Ku-kuai3,古怪、奇怪,421,,
Ku,龜,422,,
Ku7-lok8-poo7,俱樂部,422,,
Kui2,幾，多少,422,,
Kui2 jit8 tsing5,幾天前,422,,
Bo5 kui2 jit8 tsing5,前幾天,422,,
Tsit kui2-jit8,這幾天,422,,
Kui2 khoo-a2,只有幾元,423,,
Kui2 pun2 a2 tsheh,(只有)幾本書,423,,
Kui2 na7 pun2 tsheh,好幾本書,423,Kui2 a7 pun2 tsheh,
Kui2 e5 a2 lang5,(只有)幾個人,423,,
Kui2 na7 e5 lang5,好幾個人,423,Kui2 a7 e5 lang5,
Kui2 ku3-a2 ue7,幾句話,423,,
Kui2 na7 ku3 ue7,好幾句話,423,Kui2 a7 ku3 ue7,
Kui-ki2,規矩,423,,
Kui3,貴,423,,
U7 kui-ki2,有規矩,423,,
Bo5 kui-ki2,不規矩,423,,
Siu2 kui-ki2,守規矩,423,,
Kui,整、全,423,,
Kui-jit8,整天,424,,
Kui hak8-hau7,全校,424,,
Kui7,跪,424,,
Kui,歸、屬,424,,
Kui3,掛,424,Tiau3,
Kui2,鬼,424,Kui2-a2,
Moo5-kui2,魔鬼,424,,
Kun2,沸騰、開,425,,
Kun5,裙,425,,
Kun-tui7,軍隊,425,,
Kun-jin5,軍人,425,,
Sing3-bo5-kun,聖母軍,425,,
Kut-lat8,勤勉,425,,
Kut,骨,425,,
Kut-thau5,骨頭,425,,
Tshiu2-kut,手,425,,
Kha-kut,腳,426,,
Kut8,掘,426,,
Kut8,滑,426,,
La7,攪拌,426,,
La7-la7-le3,攪一攪,426,,
La5-lun5-sio,微熱的,426,,
Lah-sap,骯髒、污穢,427,Lah-sap kui2,
Lah8-tsik,蠟燭,427,,
Lah-tsik-tai5,蠟燭台,427,,
Lah8-jit8,日曆,427,,
Lai5,來,427,,
Lai5-khi3,我們去吧,429,,
Bueh lai-khi3,我(我們)要去,429,,
Bueh khi3,你(他)要去,429,,
Kin7-lai5,近來,429,,
Tsiong-lai5,將來,429,,
Au7-lai5,以後,429,,
Pun2-lai5,本來,429,,
Guan5-lai5,原來,430,,
I2-lai5,以來,430,,
I2-lai7,以內,430,,
Lai7,內,430,,
Lai7-bin7,內面,431,,
Tsit lai7-bin7,這裡面,431,,
Lai7,銳利,431,,
Lai5-ong2,來往,431,,
Lai5-a2,梨,431,,
Lak8,六,431,,
Lak-khi3,脫落,431,,
Lak-koh8-khi3,落下,431,,
Lam2,弱,432,,
Lam5-tau5,南投,432,,
Lam7-sám,隨便，輕率地,432,,
Lam7-su2,隨便，輕率地,432,,
Lam5,南,432,,
Lam5,男,432,,
Lam5-hak8-sing,男學生,432,,
Lam7,混合,432,,
Lam5-bi2,南美,432,,
Lam5-iunn5,南洋,433,,
Lam5-kik8,南極,433,,
Lâm-poo7,南部,433,,
Lam5,淋,433,,
Lan2,累，懶,433,,
Lan5-san-tsinn,零星的錢,433,,
Lan2,我們,434,,
Lan5-hue,蘭花,434,Iunn5-lan5,
Lan5,鱗,434,,
Phah lan5,剝鱗,434,,
Lang5,人,434,,
Lang3,隔,434,,
Lang3 tsit8 tsua7,隔一行,434,,
Lang5-kheh,客人,435,,
Lang2,筐、籠,435,,
Lang5,膿,435,,
Lang5 kan-khoo2,不舒服,435,,
Lap8,納、繳,435,,
Lap,踏、踩,435,Lap8,
Lat8,力,436,,
U7 lat8,有力,436,,
Bo5 lat8,無力,436,,
Lat8-tsi2,栗,436,,
Lau2-sit8,老實,436,,
Lau3-sai2,瀉肚,436,,
Lau7,老,436,,
Lau7-su,老師,436,,
Lau7-pe7,父親,436,,
Lau7-bu2,母親,436,,
Lau5,樓,436,,
Nng7 tsan3 lau5,兩層樓,437,,
Te7 ji7 tsan3 lau5,二樓,437,,
Lau5-kha,樓下,437,,
Lau5-ting2,樓上,437,,
Lau5,流,437,,
Lau5-kuann7,流汗,437,,
Lau7,漏,437,,
Lāu-hong,漏氣,437,Lau3-hong,Siau-hong
Lau3-khui3,露出馬腳,438,,
Lau5,留、遺留,438,,
Lau5 tshui3-tshiu,留鬍子,439,,
Lau5 thau5-tsang,留頭髮,439,,
Lau2-lian7,老練,439,,
Le2-pai3,禮拜、星期,439,,
Le2-pai3-tng5,禮拜堂,439,,
Le2-tng5,禮堂,439,,
Le2-soo3,禮數,439,,
U7 le2-soo3,有禮貌,440,,
Bo5 le2-soo3,沒禮貌,440,,
Le2-but8,禮物,440,,
Le7,例子,440,,
Le5,犁,440,,
Le3-tioh8,擦過傷、受微傷,440,Lu3-tioh8,
Lik8-su2,歷史,445,,
Lik8,綠、綠色,445,,
Lik-sik,發青,445,,
Ling2,冷,445,,
Ling2-tam7,冷淡,445,,
Ling5-hun5,靈魂,445,,
Ling,乳、奶,445,,
Gu5-ling,牛奶,445,,
Gu5-ling-hun2,奶粉,445,,
Iunn5-ling,羊奶,445,,
Tshiu7-ling,橡皮,445,,
Lai7-ling,內胎,446,,
Gua7-ling,外胎,446,,
Ling-bu2,奶媽、乳母,446,Ling-bo2,
Ling7-tong5,令堂,446,,
Ling7-tsun,令尊,446,,
Ling2-thoo2,領土,446,,
Ling7,鬆,446,,
Ling5-ging2,龍眼,446,,
Ling5,龍,446,,
Li2,你,446,,
Li2-iu5,理由,446,,
Li7-pian7,方便、便利,446,,
Li7-ik,利益,447,,
Li7-iong7,利用,447,,
Li2,里,447,,
Li2-kai2,理解,447,,
Li2-hing5,旅行,447,,
Li2-hui3,旅費,447,,
Li3,撕,447,,
Li3-phua3,撕破,448,Thiah-phua3,
Li3-khui,撕開,448,Thiah-khui,
Li7-khui ,離開,448,,
Li7-piat8,離別,448,Li7-khui,
Li7-hun,離婚、離緣,448,Li7-ian5,
Li2-lik8,經歷、履歷,449,King-lik8,
Li2-lik8-su,履歷書,449,,
Li7-sik,利息,449,,
Li7-hai7,厲害,449,,
Li2-siong2,理想,449,,
Li2,女,450,,
Li2-a2,李,450,,
Li2-su7,理事,450,,
Li2-su7 hue7,理事會,450,,
Liah8,捉,450,,
Liah8-tshat8,捉賊,450,,
Liah8- khi3 kuainn,投獄,450,,
Liah8 hî--ê,漁夫,450,,
Liah8 hoo7-sin5,捕蒼蠅,450,,
Liam7,念,450,,
Liam7-king,念經,450,,
Liam5-pinn,馬上、一會兒,450,,
Liam5,粘,451,,
Liam5-liam5,粘粘,451,,
Liam3,抓,451,,
Lian2,輪,451,,
Lian5,連...,451,,
Lian7,練、鍊,452,,
Lian7-ling5,煉靈,452,,
Lian7-gak8,煉獄,452,,
Lian7-sip8,練習,452,,
Lian5-hap8,聯合,452,,
Lian,凋謝、枯萎,452,,
Lian3,滾、滾轉,453,,
Lian7-a2,鏈,453,,
Lian7,鏈,453,,
Liang5,涼,453,,
Liang5-tsui2,汽水,453,Khì-tsui2,
Liap8,粒、顆、個,453,,
Liap8-a2,傷腫,453,,
Liau7-li2,烹煮、料理,454,,
Liau2,了、完了,454,,
Liau2,了,454,,
Liau2-tsinn5,虧本、賠錢,455,,
Liau2-au7,以後,455,,
Lim,飯、喝,455,,
Lim-thng,喝湯,455,,
Lim ioh8-tsui2,喝藥水,455,,
Lim gu5-ling,喝牛奶,455,,
Lim5-si5,臨時、一時的,455,,
Lin2,你們,456,,
Liong5-sim,良心,456,,
Liong7,大度、寬大,456,,
Liu5-kip,留級,456,Loh8-te7,
U7 liong5-sim,有良心,456,,
Bo5 liong5-sim,沒有良心,456,,
Liu-a2,鈕扣,457,,
Liu-a2 khang,鈕扣孔,457,,
Liu2,扣住、扣緊,457,,
Liu3,脫,457,,
Liu5-sing-ki,留聲機,457,,
Liu5-hak8,留學,457,,
Liu5-hak-sing,留學生,457,,
Liu5-hing5,流行,458,Si5-kiann5,
Tue3 liu5-hing5,跟流行,458,,
Lo3,高,458,,
Lo5-ma2,羅馬,458,,
Lo5-ma2-ji7,羅馬字,458,,
Lo5,濁,458,,
Lo5-huan5,勞煩、麻煩,458,,
Lo5-tong7,勞動,459,,
Lo5-tong7-tsia2,勞動者,459,,
Lo5-tong7-kai3,勞動界,459,,
Loo5-mua5,鱸鰻、流氓,459,,
Loo7-si-ting,螺絲釘,459,,
Loo7-si ka2,螺思旋,459,,
Loo7-ing7,用處,459,,
U7 loo7-ing7,有用處,459,,
Bo5 loo7-ing7,沒有用處,459,,
Loo7,路,459,,
Kiann5-loo7,走路,460,,
Kau3-loo7-bue2,最後,460,,
Loo2-lat8,謝謝,460,,
Loo5-le8,奴隸,460,,
Lua7,多少,460,,
Lua7 hng7,多遠,460,,
Lua7 tse7,多少,460,,
Lua7,誣指,460,,
Luah8-a2,櫛,461,,
Luah8 thau5-moo5,梳頭髮,461,Luah8 thau5-mng5,
Luan7,亂,461,,
Luan5-ai3,戀愛,461,,
Loh8 hoo7,下雨,461,,
Loh8 seh,下雪,461,,
Loh8-pui5,下肥,462,,
Loh8-te7,留級,462,,
Loh8-ke3,跌價,462,,
Loh8-khi3,下去,462,,
Loh8-khi3-hia,下去那裡,462,,
Loh8-lai5,下來,462,,
Loh8-lai5-tsia,下來這裡,462,,
Loh8 lau5-thui,下樓梯,462,,
Lok,盒,462,,
Lok8-im,錄音,462,,
Lok8-im-ki,錄音機,462,,
Lok8-a2,鹿,462,,
Lok8-to5,駱駝,463,,
Lok8-to5-moo5,駱駝毛,463,,
Long2,都,463,,
Long2-bô,都沒有,463,,
Long2-tsong2,都、全部,463,,
Long5-giap8,農業,463,,
Long5-hak8-inn7,農學院,464,,
Long5-lik8,農曆,464,Ku7-lik8,
Long5-hu,農夫,464,,
Long5-bin5,農民,464,,
Long5-tshuan,農村,464,Tshan5-tsng,
Long3,撞,464,,
Long5-tiunn5,農場,464,,
Long3-kiu5,撞球,465,,
Long3-kiu5 king,撞球間,465,Kiu5-king,
Lu2...lu2...,愈...愈...,465,,
Lui2,個(眼鏡)、朵(花),465,,
Lui5-kong,雷,466,,
Jin5-lui7,人類,466,,
Lun7-gueh8,閏月,466,,
Lun5-liu5,輪流,466,,
Tsiau3-lun5,照輪流,466,,
Lut8-su,律師,467,,
Huat-lut8,法律,467,,
M7,不、不願意,467,,
M7-bian2,不必、不要、免,467,,
M7-thang,勿、不可,467,,
M7-ku2,然而、但是,467,,
M7 tsin ho2,多麼好,467,,
M7-tsai,不知(是不是),467,,
A-m2,伯母,468,,
M7-kann2,不敢,468,,
M7-tioh8,不對,468,,
M7-si7,不是,468,,
M7-khing2,不願意,468,,
M7 ho2 khuann3,不好看,468,,
M5,蕾、蕚,468,Hue-m5,
M7 han7 tiann7...ia7 si7,不但...而且,468,,
M7-si7...tsiu7-si7,不是...就是,469,It-ting7 si7,
M7-na7...ia7,不只、不但、而且,469,,
M7-tih8,不要,469,,
Ma2-siong7,馬上,470,,
Ma2-ma2-hu-hu,馬馬虎虎,470,,
A-ma2,祖母,470,,
Gua7-ma2,外祖母,470,,
Lai7-ma2,內祖母,470,,
Ma5-huan5,麻煩,470,,
Ma7,罵,470,Me7,
Sio-ma7,爭吵,471,Sio-me7,
Mai3,不要、勿,471,,
Mai3-khi3,不要去,471,,
Mai3-kong2,不要說,471,,
Mai3-siu7-khi3,不要生氣,471,,
Mau5-tun2,矛盾,471,,
Mau5-ping7,毛病,472,,
Me5-ni5,明年,472,,
Me5,夜,472,Mi5,
Kue3-mi5,過夜,472,Keh-me5,
Me5-jit8,晝夜、日夜,472,Mi5-jit8,
Mi5-sat,彌撒,472,,
Tso3 mi5-sat,做彌撒,472,,
Mi7-hun2,麵粉,473,,
Mi7-piann2,麵餅,473,,
Mi7-pau,麵包,473,,
Mi7,麵、麵條,473,,
Mi5-tsioh-phue7,棉被,473,,
Mi,把、握,473,,
Mia5,名字,473,,
U7 mia5,有名,474,Tshut-mia5,
Mia5-tuann,名單,474,Mia5-phoo7,
Mia5-phinn3,名片,474,Bing5-phinn3,
Ho2-mia7,好運氣,474,,
Khuann3 mia7,算命運,474,,
Sinn3-mia7,生命,474,,
Mih8,物、東西,474,,
Mih8-kiann7,東西,474,,
Ban7-mih8,萬物,474,,
Tsiah8-mih8,食物,474,,
Tsiann5-mih8,成器,474,,
Mng7,問,475,In3,
Mng5,門,475,,
Tshiann2-mng7,請問,475,,
Mng5-khau2,門口,475,,
Mng5-tsuann3,門閂,475,,
Mng5,毛,475,Moo5,
Mng5-tsit,毛織品,475,Moo5-tsit,
Moo5,毛(甲),475,,
Moo5,毛髮、羽毛、毛,475,Moo,
Thau5-moo5,頭髮,475,,
Iunn5-moo5,羊毛,475,,
Ke-moo5-tshing2,雞毛掃,475,,
Moo5-pit,毛筆,475,,
Moo5-tsit,毛織品,476,,
Moo5-kui2,魔鬼,476,,
Pai3 moo5-kui2,拜魔鬼,476,,
Moo7-hiam2,冒險,476,,
Mua5,麻,476,,
Mua5,鰻,476,,
Mua2,滿,476,Muan2,
Buan2 tshut-lai5,滿出來,476,,
Mua2-i3,滿意,477,Buan2-tsiok,
Mua2-mua2-si7,滿滿都是,477,,
Mua2-si3-ke3,到處,477,,
Mue5-kui3,玫瑰,477,Mui5-kui3,
Mue5-kui3-king,玫瑰經,478,,
Mue7-sai3,妹婿,478,,
Tsi2-mue7,姐妹,478,,
Sio2-mue7,妹妹,478,,
Mue5,稀飯、粥,478,,
Am2-mue5,少米湯,478,,
Kho2-mue5,多米湯,478,,
Mui2,每、各,478,Tak8,
Mui2-jit8,每日,478,,
Mui2-ni5,每年,478,,
Mui2-hue5,每次,478,,
Mui5-hue,梅花,478,,
Na7,假如、若,478,,
Na7-si7,假如,479,,
Na7-u7,假如有,479,,
Na2 tshin-tshiunn7,正如、好像,479,,
Na2,為什麼,479,,
Na2...na2...,越...越...、像...像...,479,,
Na5,籃,480,,
Na5-kui5,籃球,480,,
Phah na5-kiu5,打藍球,480,,
Na5-kiu5 e5 pi2-sai3,籃球比賽,480,,
Na5-kiu5-e5,籃球鞋,480,,
Tin5-na5,藤籃,480,,
Ng3-bang7,盼望,480,,
Ng-a2,秧、禾苗,480,,
Ng-tsioh,苗床,480,,
Ng5,黃,480,,
Ng2,影、蔭,481,,
Tshiu7-a2 ng2,樹蔭,481,,
Ngi7,硬,481,Nge7,
Ngiau,使發癢,481,,
E7 ngiau,癢癢的感覺,481,,
Ngoo2-siong7,偶像,481,,
Pai3 ngoo2-siong7,拜偶像,481,,
Ni5,年,482,,
Kin-ni5,今年,482,,
Me5-ni5,明年,482,,
Au7-ni5,後年,482,,
Ku7-ni5,去年,482,,
koh nng7 ni5,過兩年、兩年後,482,,
Pun2-ni5,本年,482,,
Sin-ni5,新年,482,,
Kue3-ni5,過年,482,,
Ni2,染,482,,
Ni3 kha-bue2,舉、踵,482,,
Ni5-koo,尼姑,483,Ni5-koo,
Ni5-koo-am,尼姑庵,483,,
Nia2,件,483,,
Tsit8 nia2 khoo3,一件褲子,483,,
Nia2,領,483,,
Nia2 sing3-the2,領聖體,483,,
Nia2 tsinn5,領錢,483,,
Nia7-nia7,僅僅、而已,483,Nia7-tiann7,
Niau,貓,483,,
Niau-a2-kiann2,小貓,483,,
Niau2-tshi2,老鼠,484,,
Niau2-tshi2 tng,捉老鼠的圈套,484,,
Niau,有痘痕,484,Niau-niau,
Nih8,裡,484,,
Nih8,握,484,,
Nih,瞬,484,,
Tsit8 bak8 nih-a2,一瞬間,484,,
Niu5,量,485,,
Niu7,衡量、秤,485,,
Niu7-a2,秤、天秤,485,,
Niu2,兩,485,,
Niu5-a2,蠶,485,,
Niu7,讓,485,,
Sio-niu7,相讓,486,,
Nng2,軟,486,,
Nng2-phinn3,軟片,486,,
Nng2- suann3,保險絲、軟線,486,,
Nng7,蛋、卵,486,,
Ke nng7,雞蛋,486,,
Ah nng7,鴨卵,486,,
Hue2-ke-nng7,火雞卵,486,,
Nng7-jin5,蛋黃,486,,
Nng7-peh8,蛋白,486,,
Nng7,兩、二,486,,
Nua7,唾液,487,Tshui3-nua7,
Lau5-nua7,唾涎,487,,
Phui3 tshui3-nua7,吐唾液,487,,
Nua7,腐爛、腐蝕,487,,
Nua7,柔軟的,487,,
O-lo2,稱讚,487,,
O5-a2,蠔,488,,
Oo-thoo-bai2,機器腳踏車,488,,
Oo-peh8,隨便,488,,
Oo-peh8 kong2,亂講,488,,
Oo-ian,煤煙,488,,
Oo7-a2,芋,488,,
Ua2-kho3,依靠,488,,
Ua2,瓦、公分,489,Kong-hun,
Ua2,接近、靠近,489,,
Khah ua2 lai5,靠近一點來,489,,
M7-thang ua2-khi3,不要靠近去,489,,
Uann2,碗,489,,
Png7-uann2,飯碗,489,,
Tsit8 uann2 png7,一碗飯,489,,
Uann2-puann5,碗盤,489,,
Siu uann-puann5,收拾碗盤,489,,
Uann7,換,489,,
